"CODE","de"
"NAME","Deutsch"
"AVO_DESC","Ändere fahrzeugspezifische Werte (kompatibel mit Cities Skylines Airports 1.14.1-f2)."
"TRN_CHOICE","Sprache festlegen"
"TRN_TOOLTIP","Wählen Sie die Sprache aus, die für diese Mod verwendet werden soll.
Benötigt einen Neustart des Spiels. (Standard: Benutze die Spielsprache)"
"TRN_SYS","Spieleinstellung übernehmen"
"KEY_KEY","Hotkey im Spiel"
"KEY_KEY_TT","Definiere einen Hotkey, um das AVO Interface zu aktivieren."
"KEY_PRS","Beliebige Taste drücken"
"AVO_OPT_GEN","Allgemeine Einstellungen"
"AVO_OPT_GEN_ASAVE","Aktiviere automatisches Speichern für Änderungen an Fahrzeugdaten"
"AVO_OPT_GEN_ASAVE_TT","Wenn aktiviert, werden alle Änderungen an Fahrzeugen sofort gespeichert,
sobald die Dateneingabe in einem Feld abgeschlossen ist. (Standard: aktiviert)"
"AVO_OPT_GEN_DEBUG","Aktiviere erweiterte Log-Meldungen"
"AVO_OPT_GEN_DEBUG_TT","Falls aktiviert, werden zusätzliche Information durch AVO in die Log-Datei des Spiels geschrieben. (Standard: deaktiviert)"
"AVO_OPT_GEN_GUI","Schaltfläche des Mods ausblenden"
"AVO_OPT_GEN_GUI_TT","Den UI Button in der Hauptleiste ausblenden. Auf die AVO-Benutzeroberfläche kann jederzeit
mit dem Hotkey zugegriffen werden. (Standard: deaktiviert - UI-Schaltfläche anzeigen)"
"AVO_OPT_GEN_SERVICE","Überprüfung auf Service-Verfügbarkeit bei Spielstart"
"AVO_OPT_GEN_SERVICE_TT","Eine Warnung wird angezeigt, wenn das Spiel gestartet wird und städtischen
Diensten keine Fahrzeuge zugewiesen wurden. (Standard: aktiviert)"
"AVO_OPT_BAL","Spieleinstellungen"
"AVO_OPT_BAL_UNITS","Verwende Meilen pro Stunde (mph) anstelle von Kilometer pro Stunde (km/h)"
"AVO_OPT_BAL_UNITS_TT","Ändert die Anzeige der Einheit der Geschwindigkeit von mph auf km/h.
(Standard: deaktiviert - Anzeige in km/h)"
"AVO_OPT_BAL_EXT","Aktiviere Anzeige zusätzlicher Fahrzeugoptionen"
