"CODE","zh_CN"
"NAME","简体中文"
"AVO_DESC","自定义你城市的车辆（兼容机场DLC，游戏版本 1.14.1-f2）"
"TRN_CHOICE","选择语言"
"TRN_TOOLTIP","选择该模组的语言，需要重启游戏（默认为游戏语言）"
"TRN_SYS","使用游戏语言"
"KEY_KEY","快捷键"
"KEY_KEY_TT","为AVO模组设置快捷键"
"KEY_PRS","按任意键"
"AVO_OPT_GEN","通用设置"
"AVO_OPT_GEN_ASAVE","启用车辆参数自动保存"
"AVO_OPT_GEN_ASAVE_TT","若启用，任何对车辆参数的改动会被立刻保存（默认：启用）"
"AVO_OPT_GEN_DEBUG","启用调试信息日志记录"
"AVO_OPT_GEN_DEBUG_TT","若启用，模组的调试信息会被写入日志（默认：启用）"
"AVO_OPT_GEN_GUI","隐藏游戏内工具按钮"
"AVO_OPT_GEN_GUI_TT","从主菜单上隐藏工具按钮。AVO面板可以通过快捷键呼出（默认：禁用 - 显示工具按钮）"
"AVO_OPT_GEN_SERVICE","启用加载地图时无可用服务警告"
"AVO_OPT_GEN_SERVICE_TT","在加载时显示城市服务无任何车辆的警告（默认：启用）"
"AVO_OPT_BAL","游戏与平衡"
"AVO_OPT_BAL_UNITS","显示英里表（Mph）而非公里表（Km/H）"
"AVO_OPT_BAL_UNITS_TT","速度显示由公里表改为英里表（默认：禁用 - 使用公里表）"
"AVO_OPT_BAL_EXT","启用非客运与非货运车辆多样化参数设置"
"AVO_OPT_BAL_EXT_TT","允许更改消防服务的消防速率与容量；警察服务的犯罪容量；维护车辆的维护与抽水速率（默认：禁用）"
"AVO_OPT_COMP","兼容性"
"AVO_OPT_COMP_MODS","显示模组兼容问题警告"
"AVO_OPT_COMP_MODS_TT","若启用，任何可能被 IPT（BloodyPenguin）和 TLM（Klyte45）模组更改的参数用红色标出。这些数值仅应该用以上模组修改。若禁用，不会标记任何数值（默认：启用）"
"AVO_OPT_COMP_VCX","ACE（Asset Color Expander，Klyte45）模组优先于AVO修改车辆颜色"
"AVO_OPT_COMP_VCX_TT","永久设置，仅在ACE启用时有效。车辆颜色受ACE控制（默认：永久启用）"
"AVO_OPT_COMP_NBT","NBC（No Big Trucks，MacSergey）标记通用工业车辆为大型车辆"
"AVO_OPT_COMP_NBT_TT","若启用，送货卡车会标记为大型车辆，NBC模组会限制车辆使用（默认：启用）"
"AVO_OPT_COMP_TRL","挂车兼容性参照表更新日期："
"AVO_OPT_COMP_TRL_TT","该字段显示车辆列表的最后更新日期，包括公交车、无轨电车、消防与警用挂车，默认标记为工业车辆但是已经由AVO归类"
"AVO_OPT_SUP","帮助"
"AVO_OPT_SUP_WIKI","打开AVO百科"
"AVO_OPT_SUP_LOG","打开天际线日志文件夹（output_log.txt）"
"AVO_OPT_SUP_SET","打开模组配置文件文件夹"
"AVO_OPT_SUP_SET_TT","检查如下文件的备份：
模组设置：AdvancedVehicleOptions_Settings.xml
车辆数据：AdvancedVehicleOptions_VehicleData.xml"
"AVO_MOD_CAPA","容量："
"AVO_MOD_BGUIDESC","更改各种车辆属性"
"AVO_MOD_AV01","你的配置已导出。配置文件可以在这里找到："
"AVO_MOD_AV02","如下服务可能由于无任何可生成的车辆而无法正常工作"
"AVO_MOD_VO01","消防容量："
"AVO_MOD_VO02","犯罪容量："
"AVO_MOD_VO03","抽水速率："
"AVO_MOD_VO04","行动距离："
"AVO_MOD_VO05","捕捞速率："
"AVO_MOD_VO06","未指定容量："
"AVO_MOD_VO07","载客量："
"AVO_MOD_VO08","载货量："
"AVO_MOD_VO09","邮件容量："
"AVO_MOD_VO10","维护容量："
"AVO_MOD_VO11","病人容量"
"AVO_MOD_VO12","遗体容量："
"AVO_MOD_VO13","犯罪容量速率："
"AVO_MOD_VO14","消防速率"
"AVO_MOD_VO15","效率："
"AVO_MOD_MP00","全部车辆"
"AVO_MOD_MP01","公民 - 车辆"
"AVO_MOD_MP02","公民 - 自行车"
"AVO_MOD_MP03","工业 - 林业"
"AVO_MOD_MP04","工业 - 农业"
